,BRD Ref,BRD Type,SW Pos,StreamingIP,CH,Mantid_DetectorID_Start,Mantid_Detector_ID_Lenght,Comment
9,ADC9-S0,PC3544M4,SP9,192.168.2.136,2,,256,Tube: B2-PACK 3 Tube 5
9,ADC9-S0,PC3544M4,SP9,192.168.2.136,3,,256,Tube: B2-PACK 3 Tube 6
9,ADC9-S0,PC3544M4,SP9,192.168.2.136,4,,256,Tube: B2-PACK 3 Tube 7
9,ADC9-S0,PC3544M4,SP9,192.168.2.136,5,,256,Tube: B2-PACK 3 Tube 8
9,ADC9-S1,PC3544M4,SP9,192.168.2.137,0,,256,Tube: B2-PACK 4 Tube 1
9,ADC9-S1,PC3544M4,SP9,192.168.2.137,1,,256,Tube: B2-PACK 4 Tube 2
9,ADC9-S1,PC3544M4,SP9,192.168.2.137,2,,256,Tube: B2-PACK 4 Tube 3
9,ADC9-S1,PC3544M4,SP9,192.168.2.137,3,,256,Tube: B2-PACK 4 Tube 4
9,ADC9-S1,PC3544M4,SP9,192.168.2.137,4,,256,Tube: B2-PACK 4 Tube 5
9,ADC9-S1,PC3544M4,SP9,192.168.2.137,5,,256,Tube: B2-PACK 4 Tube 6
9,ADC9-S2,PC3544M4,SP9,192.168.2.138,0,,256,Tube: B2-PACK 4 Tube 7
9,ADC9-S2,PC3544M4,SP9,192.168.2.138,1,,256,Tube: B2-PACK 4 Tube 8
9,ADC9-S2,PC3544M4,SP9,192.168.2.138,2,,256,Tube: B2-PACK 5 Tube 1
9,ADC9-S2,PC3544M4,SP9,192.168.2.138,3,,256,Tube: B2-PACK 5 Tube 2
9,ADC9-S2,PC3544M4,SP9,192.168.2.138,4,,256,Tube: B2-PACK 5 Tube 3
9,ADC9-S2,PC3544M4,SP9,192.168.2.138,5,,256,Tube: B2-PACK 5 Tube 4
9,ADC9-S3,PC3544M4,SP9,192.168.2.139,0,,256,Tube: B2-PACK 5 Tube 5
9,ADC9-S3,PC3544M4,SP9,192.168.2.139,1,,256,Tube: B2-PACK 5 Tube 6
9,ADC9-S3,PC3544M4,SP9,192.168.2.139,2,,256,Tube: B2-PACK 5 Tube 7
9,ADC9-S3,PC3544M4,SP9,192.168.2.139,3,,256,Tube: B2-PACK 5 Tube 8
9,ADC9-S3,PC3544M4,SP9,192.168.2.139,4,,256,Tube: B2-PACK 6 Tube 1
9,ADC9-S3,PC3544M4,SP9,192.168.2.139,5,,256,Tube: B2-PACK 6 Tube 2
10,ADC10-S0,PC3544M4,SP10,192.168.2.140,0,,256,Tube: B2-PACK 6 Tube 3
10,ADC10-S0,PC3544M4,SP10,192.168.2.140,1,,256,Tube: B2-PACK 6 Tube 4
10,ADC10-S0,PC3544M4,SP10,192.168.2.140,2,,256,Tube: B2-PACK 6 Tube 5
10,ADC10-S0,PC3544M4,SP10,192.168.2.140,3,,256,Tube: B2-PACK 6 Tube 6
10,ADC10-S0,PC3544M4,SP10,192.168.2.140,4,,256,Tube: B2-PACK 6 Tube 7
10,ADC10-S0,PC3544M4,SP10,192.168.2.140,5,,256,Tube: B2-PACK 6 Tube 8
10,ADC10-S1,PC3544M4,SP10,192.168.2.141,0,,256,Tube: B2-PACK 6 Tube 9
10,ADC10-S1,PC3544M4,SP10,192.168.2.141,1,,256,Tube: B2-PACK 6 Tube 10
10,ADC10-S1,PC3544M4,SP10,192.168.2.141,2,,256,Tube: C1-PACK 1 Tube 1
10,ADC10-S1,PC3544M4,SP10,192.168.2.141,3,,256,Tube: C1-PACK 1 Tube 2
10,ADC10-S1,PC3544M4,SP10,192.168.2.141,4,,256,Tube: C1-PACK 1 Tube 3
10,ADC10-S1,PC3544M4,SP10,192.168.2.141,5,,256,Tube: C1-PACK 1 Tube 4
10,ADC10-S2,PC3544M4,SP10,192.168.2.142,0,,256,Tube: C1-PACK 1 Tube 5
10,ADC10-S2,PC3544M4,SP10,192.168.2.142,1,,256,Tube: C1-PACK 1 Tube 6
10,ADC10-S2,PC3544M4,SP10,192.168.2.142,2,,256,Tube: C1-PACK 1 Tube 7
10,ADC10-S2,PC3544M4,SP10,192.168.2.142,3,,256,Tube: C1-PACK 1 Tube 8
10,ADC10-S2,PC3544M4,SP10,192.168.2.142,4,,256,Tube: C1-PACK 2 Tube 1
10,ADC10-S2,PC3544M4,SP10,192.168.2.142,5,,256,Tube: C1-PACK 2 Tube 2
10,ADC10-S3,PC3544M4,SP10,192.168.2.143,0,,256,Tube: C1-PACK 2 Tube 3
